Date,Open,High,Low,Close,Adj Close,Volume
2021-06-27,3.554007,3.715533,3.432390,3.704711,3.704711,160459315
2021-06-28,3.710180,3.873683,3.618205,3.853506,3.853506,168419008
2021-06-29,3.860598,4.368391,3.853998,4.202603,4.202603,201934521
2021-06-30,4.219378,4.510571,4.015341,4.371678,4.371678,250669057
2021-07-01,4.369437,4.450341,4.048487,4.159939,4.159939,187271012
2021-07-02,4.147339,4.219424,3.875868,4.146994,4.146994,134638480
2021-07-03,4.146554,4.651187,4.038541,4.594831,4.594831,181946648
2021-07-04,4.597253,4.630295,4.346118,4.521084,4.521084,173138094
2021-07-05,4.537789,4.852091,4.272976,4.418768,4.418768,235036540
2021-07-06,4.408765,4.766211,4.387094,4.555898,4.555898,199401068
2021-07-07,4.552043,4.709109,4.465331,4.499309,4.499309,168239562
2021-07-08,4.509192,4.511579,4.002587,4.082252,4.082252,188374559
2021-07-09,4.075255,4.239173,3.844213,4.160996,4.160996,172062385
2021-07-10,4.164332,4.280089,3.935364,4.059461,4.059461,143987368
2021-07-11,4.060067,4.268027,4.018658,4.157013,4.157013,137015548
2021-07-12,4.163266,4.274431,3.985178,4.080166,4.080166,138233461
2021-07-13,4.073708,4.101636,3.836529,3.893286,3.893286,129417163
2021-07-14,3.894392,3.948323,3.639087,3.896796,3.896796,151969471
2021-07-15,3.898034,3.960615,3.672051,3.747409,3.747409,166969200
2021-07-16,3.760811,3.892607,3.565593,3.606465,3.606465,164579527
2021-07-17,3.596532,3.762668,3.579894,3.670226,3.670226,149001242
2021-07-18,3.672277,3.891048,3.613236,3.659298,3.659298,158729055
2021-07-19,3.656921,3.674355,3.328623,3.328623,3.328623,148443008
2021-07-20,3.342074,3.438736,3.057913,3.176934,3.176934,163904865
2021-07-21,3.174390,3.514726,3.094086,3.454150,3.454150,167388611
2021-07-22,3.458948,3.614093,3.386060,3.584051,3.584051,166874695
2021-07-23,3.587402,3.716698,3.463059,3.706770,3.706770,142876544
2021-07-24,3.702866,3.809279,3.655260,3.730584,3.730584,150975778
2021-07-25,3.727553,3.779128,3.597448,3.777808,3.777808,122561401
2021-07-26,3.781069,4.157510,3.781069,3.801574,3.801574,250345816
2021-07-27,3.794617,3.930867,3.686260,3.928377,3.928377,167779766
2021-07-28,3.932480,4.007604,3.802618,3.921988,3.921988,167755173
2021-07-29,3.936235,4.125629,3.829413,4.089893,4.089893,170901334
2021-07-30,4.103168,4.255621,3.926996,4.255621,4.255621,217280900
2021-07-31,4.246950,4.512460,4.185732,4.472631,4.472631,207559688
2021-08-01,4.458828,4.751689,4.270537,4.315031,4.315031,275854149
2021-08-02,4.304456,4.450352,4.187439,4.374705,4.374705,180127450
2021-08-03,4.371035,4.440528,4.074645,4.185591,4.185591,163783686
2021-08-04,4.197603,4.367163,4.067982,4.330733,4.330733,165261573
2021-08-05,4.333582,4.486040,4.163656,4.465112,4.465112,211102696
2021-08-06,4.465485,4.758478,4.343691,4.728138,4.728138,229773217
2021-08-07,4.730625,5.361290,4.665122,5.067728,5.067728,468155548
2021-08-08,5.068036,5.142861,4.711505,4.769173,4.769173,277730346
2021-08-09,4.771468,5.191461,4.611287,4.989544,4.989544,275453255
2021-08-10,4.989081,5.196961,4.903217,5.126074,5.126074,243241153
2021-08-11,5.124564,5.469171,5.095780,5.271682,5.271682,259435901
2021-08-12,5.265221,5.496935,4.835281,5.024693,5.024693,316314284
2021-08-13,5.045149,5.638306,4.966479,5.617094,5.617094,357094085
2021-08-14,5.620249,5.763075,5.375934,5.642038,5.642038,328522405
2021-08-15,5.643336,5.727206,5.348218,5.688749,5.688749,249295279
2021-08-16,5.690235,5.981585,5.509862,5.666084,5.666084,366393133
2021-08-17,5.644931,5.898631,5.199605,5.240848,5.240848,340482225
2021-08-18,5.237719,5.368164,4.971838,5.175428,5.175428,262925786
2021-08-19,5.163740,6.243223,4.995539,6.151204,6.151204,631862928
2021-08-20,6.161840,6.321560,5.935822,6.146863,6.146863,489249899
2021-08-21,6.156554,6.559042,5.996805,6.140339,6.140339,407434109
2021-08-22,6.143635,6.533187,6.018870,6.282843,6.282843,302706363
2021-08-23,6.279279,7.240930,6.189528,6.771008,6.771008,769934566
2021-08-24,6.778271,7.171836,6.136497,6.299398,6.299398,547968450
2021-08-25,6.302987,6.828204,6.099609,6.635219,6.635219,505357632
2021-08-26,6.644623,6.742972,5.943481,6.001194,6.001194,388834811
2021-08-27,5.994043,6.629974,5.737392,6.555255,6.555255,392696211
2021-08-28,6.570920,6.608291,6.339975,6.446375,6.446375,276396131
2021-08-29,6.447989,6.779297,6.374955,6.652089,6.652089,435227747
2021-08-30,6.658701,6.697877,6.196528,6.204209,6.204209,309932738
